iter	RMSE
0	0.5534806461
1	0.540547142	2	0.5301063497
3	0.5165124554	4	0.5053086155	5	0.4945386336	6	0.4841776067	7	0.4736060688	8	0.4629981399	9	0.4540978088
10	0.4455312321
11	0.4375509869
12	0.4303813464
13	0.4226655428
14	0.4157181897
15	0.409979912
16	0.4038541366
17	0.3973029104
18	0.3916570503
19	0.3864213493
20	0.3804166599
21	0.3752233452
22	0.3710765267
23	0.3672921537
24	0.3628381774
25	0.3586191162
26	0.3547157888
27	0.3510102606
28	0.3475472242
29	0.3443820685
30	0.3414227201
31	0.338571438
32	0.3356843015
33	0.3331372802
34	0.3303031875
35	0.3277266548
36	0.3249326928
37	0.32284932
38	0.3210136692
39	0.3192023079
40	0.3173560645
41	0.31536852
42	0.3135706093
43	0.3114537934
44	0.3097564445
45	0.3081712582
46	0.3066270494
47	0.3053806887
48	0.3041279436
49	0.3024938776
50	0.3009625996
51	0.2995157385
52	0.2975225775
53	0.2964136806
54	0.2948256976
55	0.2936848524
56	0.2925767571
57	0.2913245372
58	0.289913258
59	0.2890892447
60	0.2880461768
61	0.2869003067
62	0.28575104
63	0.284450765
64	0.2833905111
65	0.2824246902
66	0.281775796
67	0.2805752964
68	0.279663988
69	0.2787243248
70	0.2778587472
71	0.2768768933
72	0.2761115742
73	0.2755059245
74	0.2744480888
75	0.2736670436
76	0.2729298736
77	0.2719965135
78	0.2711873933
79	0.2704800007
80	0.2696303207
81	0.2689085965
82	0.2680295981
83	0.2675498991
84	0.266753706
85	0.2662520243
86	0.265345271
87	0.2645861379
88	0.2638025067
89	0.2629415989
90	0.2624304996
91	0.2619225753
92	0.2612494929
93	0.2604224998
94	0.2598405579
95	0.259215021
96	0.2584886384
97	0.2580687859
98	0.2574938485
99	0.2568258169
9898851
