iter	Passed	Remaining
0	144	14337
1	204	10034
2	304	9860
3	381	9149
4	446	8489
5	528	8277
6	604	8034
7	672	7735
8	739	7474
9	814	7329
10	897	7263
11	965	7082
12	1046	7004113	1126	6922114	1196	6781115	1262	6630116	1348	6581117	1425	6496
18	1496	6378119	1562	6250220	1654	6224221	1728	6127
22	1793	6003
23	1873	5932
24	1946	5840
25	2012	5727
26	2080	5625
27	2147	5521
28	2217	5429
29	2309	5389
30	2376	5290
31	2453	5214
32	2513	5104
33	2579	5006334	2650	4922
35	2728	4850
36	2800	4768
37	2890	4715
38	2969	4644
39	3040	4560
40	3115	4483
41	3198	4417
42	3277	4344
43	3380	4302
44	3447	4213
45	3538	4154
46	3633	4097
47	3703	4011
48	3772	3926
49	3853	3853
50	3939	3784
51	4022	3712
52	4092	3629
53	4181	3561
54	4254	3480
55	4324	3398
56	4393	3314
57	4451	3223
58	4517	3139
59	4590	3060
60	4665	2982
61	4734	2902
62	4792	2814
63	4855	2731
64	4919	2649
65	4988	2569
66	5068	2496
67	5134	2416
68	5209	2340
69	5266	2256
70	5333	2178
71	5399	2099
72	5469	2023
73	5538	1946
74	5614	1871
75	5682	1794
76	5756	1719
77	5822	1642
78	5901	1568
79	5984	1496
80	6051	1419
81	6129	1345
82	6198	1269
83	6278	1195
84	6344	1119
85	6411	1043
86	6479	968
87	6556	894
88	6619	818
89	6692	743990	6764	668991	6843	595992	6912	520993	6972	445994	7046	370995	7115	296996	7181	222997	7245	147998	7298	73999	7341	0
